time,node_id,rssi
0.0,0,-86.0
0.0,1,-90.0
0.251,0,-86.0
0.251,1,-90.0
0.501,1,-88.0
0.501,0,-85.0
0.621,2,
0.751,0,-85.0
0.751,1,-88.0
1.012,0,-85.0
1.012,3,-90.0
1.262,0,-85.0
1.262,3,-90.0
1.512,0,-85.0
1.512,1,-88.0
1.763,0,-85.0
1.763,1,-88.0
2.013,0,-84.0
2.013,1,-90.0
2.263,0,-84.0
2.263,1,-90.0
2.514,4,-90.0
2.514,1,-89.0
2.604,2,
2.764,1,-89.0
2.764,4,-90.0
3.515,5,-93.0
3.515,1,-91.0
3.515,0,-85.0
3.766,0,-85.0
3.766,5,-93.0
3.766,1,-91.0
4.016,6,-92.0
4.266,6,-92.0
4.617,2,
5.017,0,-86.0
5.017,1,-88.0
5.268,0,-86.0
5.268,1,-88.0
6.63,2,
7.271,0,-86.0
7.521,0,-86.0
7.771,0,-86.0
8.022,0,-86.0
8.272,0,-91.0
8.272,3,-89.0
8.522,0,-91.0
8.522,3,-89.0
8.613,2,
8.773,0,-87.0
9.023,0,-87.0
9.274,0,-90.0
9.524,0,-90.0
9.774,0,-87.0
10.025,0,-87.0
10.275,0,-88.0
10.525,0,-88.0
10.605,2,
10.776,0,-86.0
11.026,0,-86.0
11.276,0,-86.0
11.527,0,-86.0
11.777,0,-89.0
12.028,0,-89.0
12.278,0,-89.0
12.528,0,-89.0
12.598,2,
12.779,0,-88.0
13.029,0,-88.0
13.279,0,-87.0
13.53,0,-87.0
13.78,0,-86.0
13.78,7,-93.0
14.03,0,-86.0
14.03,7,-93.0
14.281,0,-89.0
14.531,0,-89.0
14.601,2,
14.781,0,-87.0
15.032,0,-87.0
15.282,0,-90.0
15.533,0,-90.0
15.783,0,-87.0
16.033,0,-87.0
16.284,0,-87.0
16.534,0,-87.0
16.634,2,
16.784,0,-89.0
17.035,0,-89.0
18.287,0,-87.0
18.537,0,-87.0
18.607,2,
18.787,0,-87.0
19.038,3,-91.0
19.038,0,-85.0
19.288,3,-91.0
19.288,0,-85.0
20.54,6,-91.0
20.61,2,
20.79,6,-91.0
21.04,6,-91.0
21.291,1,-90.0
21.291,8,-94.0
21.541,8,-94.0
21.541,1,-90.0
21.792,6,-92.0
21.792,1,-90.0
22.042,1,-90.0
22.042,6,-92.0
22.292,0,-87.0
22.543,0,-87.0
22.623,2,
22.793,1,-89.0
22.793,0,-86.0
23.043,0,-86.0
23.043,1,-89.0
23.294,0,-86.0
23.294,9,-93.0
23.294,1,-86.0
23.544,0,-86.0
23.544,9,-93.0
23.544,1,-86.0
23.794,9,-96.0
23.794,0,-85.0
23.794,1,-88.0
24.045,1,-88.0
24.045,0,-85.0
24.045,9,-96.0
24.295,0,-83.0
24.546,0,-83.0
24.606,2,
24.796,0,-83.0
25.046,1,-92.0
25.046,0,-84.0
25.297,1,-92.0
25.297,0,-84.0
25.547,1,-89.0
25.547,0,-85.0
25.797,1,-89.0
25.797,0,-85.0
26.048,0,-87.0
26.048,1,-89.0
26.298,0,-87.0
26.298,1,-89.0
26.639,2,
27.55,0,-85.0
27.55,1,-88.0
27.8,1,-88.0
27.8,0,-85.0
28.051,0,-86.0
28.301,0,-86.0
28.551,0,-86.0
28.641,2,
28.802,0,-86.0
29.803,1,-87.0
30.053,1,-87.0
30.304,0,-87.0
30.304,10,-90.0
30.554,0,-87.0
30.554,10,-90.0
30.634,2,
30.805,0,-85.0
31.055,0,-85.0
31.305,0,-83.0
31.556,0,-83.0
31.806,0,-83.0
32.056,0,-90.0
32.307,0,-90.0
32.557,0,-82.0
32.607,2,
32.807,0,-82.0
33.058,0,-85.0
33.058,8,-93.0
33.308,0,-85.0
33.308,8,-93.0
34.059,0,-88.0
34.31,0,-88.0
34.56,1,-85.0
34.56,0,-85.0
34.62,2,
34.81,0,-85.0
34.81,1,-85.0
35.561,0,-88.0
35.812,0,-88.0
36.563,1,-84.0
36.643,2,
36.813,1,-84.0
37.064,1,-84.0
37.815,11,-90.0
38.065,11,-90.0
38.315,11,-90.0
38.566,8,-92.0
38.646,2,
38.816,8,-92.0
39.066,3,-85.0
39.317,3,-85.0
39.567,3,-85.0
40.569,12,-88.0
40.569,5,-79.0
40.569,3,-91.0
40.619,2,
40.819,12,-88.0
40.819,5,-79.0
40.819,3,-91.0
41.069,12,-88.0
41.069,5,-79.0
41.069,3,-91.0
41.32,12,-88.0
41.32,5,-84.0
41.57,12,-88.0
41.57,5,-84.0
41.82,12,-88.0
41.82,5,-84.0
42.071,13,-83.0
42.071,14,-75.0
42.071,15,-86.0
42.321,13,-83.0
42.321,14,-75.0
42.321,15,-86.0
42.571,13,-83.0
42.571,14,-75.0
42.571,15,-86.0
42.622,2,
42.822,13,-88.0
42.822,15,-83.0
42.822,14,-65.0
42.822,16,-86.0
43.072,14,-65.0
43.072,13,-88.0
43.072,15,-83.0
43.072,16,-86.0
43.323,14,-65.0
43.323,13,-88.0
43.323,15,-83.0
43.323,16,-86.0
43.573,14,-70.0
43.573,17,-82.0
43.573,15,-85.0
